name,value
QPLL0_CFG2,16'b0000111111000000
QPLL0_CFG2_G3,16'b0000111111000000
QPLL0_CFG3,16'b0000000100100000
QPLL0_CFG4,16'b0000000000000010
QPLL0_CP,10'b0011111111
QPLL0_CP_G3,10'b0000001111
QPLL0_FBDIV,66
QPLL0_FBDIV_G3,160
QPLL0_INIT_CFG0,16'b0000001010110010
QPLL0_INIT_CFG1,8'b00000000
QPLL0_LOCK_CFG,16'b0010010111101000
QPLL0_LOCK_CFG_G3,16'b0010010111101000
QPLL0_LPF,10'b1000111111
QPLL0_LPF_G3,10'b0111010101
QPLL0_PCI_EN,1'b0
QPLL0_RATE_SW_USE_DRP,1'b1
QPLL0_REFCLK_DIV,1
QPLL0_SDM_CFG0,16'b0000000010000000
QPLL0_SDM_CFG1,16'b0000000000000000
QPLL0_SDM_CFG2,16'b0000000000000000
QPLL1CLKOUT_RATE,"HALF"
QPLL1CLKRSVD0_TIE_EN,1'b0
QPLL1CLKRSVD0_VAL,1'b0
QPLL1CLKRSVD1_TIE_EN,1'b0
QPLL1CLKRSVD1_VAL,1'b0
QPLL1FBDIV_TIE_EN,1'b0
QPLL1FBDIV_VAL,8'b00000000
QPLL1LOCKDETCLK_TIE_EN,1'b0
QPLL1LOCKDETCLK_VAL,1'b0
QPLL1LOCKEN_TIE_EN,1'b0
QPLL1LOCKEN_VAL,1'b0
QPLL1PD_TIE_EN,1'b0
QPLL1PD_VAL,1'b1
QPLL1REFCLKSEL_TIE_EN,1'b0
QPLL1REFCLKSEL_VAL,3'b001
QPLL1RESET_TIE_EN,1'b0
QPLL1RESET_VAL,1'b1
QPLL1_CFG0,16'b0011001100011100
QPLL1_CFG1,16'b1101000000111000
QPLL1_CFG1_G3,16'b1101000000111000
QPLL1_CFG2,16'b0000111111000011
QPLL1_CFG2_G3,16'b0000111111000011
QPLL1_CFG3,16'b0000000100100000
QPLL1_CFG4,16'b0000000000000010
QPLL1_CP,10'b0011111111
QPLL1_CP_G3,10'b0001111111
QPLL1_FBDIV,66
QPLL1_FBDIV_G3,80
QPLL1_INIT_CFG0,16'b0000001010110010
QPLL1_INIT_CFG1,8'b00000000
QPLL1_LOCK_CFG,16'b0010010111101000
QPLL1_LOCK_CFG_G3,16'b0010010111101000
QPLL1_LPF,10'b1000011111
QPLL1_LPF_G3,10'b0111010100
QPLL1_PCI_EN,1'b0
QPLL1_RATE_SW_USE_DRP,1'b1
QPLL1_REFCLK_DIV,1
QPLL1_SDM_CFG0,16'b0000000010000000
QPLL1_SDM_CFG1,16'b0000000000000000
QPLL1_SDM_CFG2,16'b0000000000000000
QPLLRSVD1_TIE_EN,1'b0
QPLLRSVD1_VAL,8'b00000000
QPLLRSVD2_TIE_EN,1'b0
QPLLRSVD2_VAL,5'b00000
QPLLRSVD3_TIE_EN,1'b0
QPLLRSVD3_VAL,5'b00000
QPLLRSVD4_TIE_EN,1'b0
QPLLRSVD4_VAL,8'b00000000
RCALENB_TIE_EN,1'b0
RCALENB_VAL,1'b1
RSVD_ATTR0,16'b0000000000000000
RSVD_ATTR1,16'b0000000000000000
RSVD_ATTR2,16'b0000000000000000
RSVD_ATTR3,16'b0000000000000000
RXRECCLKOUT0_SEL,2'b00
RXRECCLKOUT1_SEL,2'b00
SARC_ENB,1'b0
SARC_SEL,1'b0
SDM0DATA_TIE_EN,1'b0
SDM0DATA_VAL,25'b0000000000000000000000000
SDM0INITSEED0_0,16'b0000000100010001
SDM0INITSEED0_1,9'b000010001
SDM0RESET_TIE_EN,1'b0
SDM0RESET_VAL,1'b0
SDM0TOGGLE_TIE_EN,1'b0
SDM0TOGGLE_VAL,1'b0
SDM0WIDTH_TIE_EN,1'b0
SDM0WIDTH_VAL,2'b00
SDM1DATA_TIE_EN,1'b0
SDM1DATA_VAL,25'b0000000000000000000000000
SDM1INITSEED0_0,16'b0000000100010001
SDM1INITSEED0_1,9'b000010001
SDM1RESET_TIE_EN,1'b0
SDM1RESET_VAL,1'b0
SDM1TOGGLE_TIE_EN,1'b0
SDM1TOGGLE_VAL,1'b0
SDM1WIDTH_TIE_EN,1'b0
SDM1WIDTH_VAL,2'b00
SIM_DEVICE,"ULTRASCALE_PLUS"
SIM_MODE,"FAST"
SIM_RESET_SPEEDUP,"TRUE"
UBCFGSTREAMEN_TIE_EN,1'b0
UBCFGSTREAMEN_VAL,1'b0
UBDO_TIE_EN,1'b0
UBDO_VAL,16'b0000000000000000
UBDRDY_TIE_EN,1'b0
UBDRDY_VAL,1'b0
UBENABLE_TIE_EN,1'b0
UBENABLE_VAL,1'b0
UBGPI_TIE_EN,1'b0
UBGPI_VAL,2'b00
UBINTR_TIE_EN,1'b0
UBINTR_VAL,2'b00
UBIOLMBRST_TIE_EN,1'b0
UBIOLMBRST_VAL,1'b0
UBMBRST_TIE_EN,1'b0
UBMBRST_VAL,1'b0
UBMDMCAPTURE_TIE_EN,1'b0
UBMDMCAPTURE_VAL,1'b0
UBMDMDBGRST_TIE_EN,1'b0
UBMDMDBGRST_VAL,1'b0
UBMDMDBGUPDATE_TIE_EN,1'b0
UBMDMDBGUPDATE_VAL,1'b0
UBMDMREGEN_TIE_EN,1'b0
UBMDMREGEN_VAL,4'b0000
UBMDMSHIFT_TIE_EN,1'b0
UBMDMSHIFT_VAL,1'b0
UBMDMSYSRST_TIE_EN,1'b0
UBMDMSYSRST_VAL,1'b0
UBMDMTCK_TIE_EN,1'b0
UBMDMTCK_VAL,1'b0
UBMDMTDI_TIE_EN,1'b0
UBMDMTDI_VAL,1'b0
UB_CFG0,16'b0000000000000000
UB_CFG1,16'b0000000000000000
UB_CFG2,16'b0000000000000000
UB_CFG3,16'b0000000000000000
UB_CFG4,16'b0000000000000000
UB_CFG5,16'b0000010000000000
UB_CFG6,16'b0000000000000000
